pl x = 115, pl y = 157 e x = 100, e y = -46, dx = 15, dy = 203
pl x = 106, pl y = 157 e x = 117, e y = -36, dx = -11, dy = 193
pl x = 160, pl y = 157 e x = 95, e y = -2, dx = 65, dy = 159
pl x = 126, pl y = 157 e x = 165, e y = -87, dx = -39, dy = 244
pl x = 123, pl y = 157 e x = 155, e y = -64, dx = -32, dy = 221
pl x = 114, pl y = 157 e x = 169, e y = -70, dx = -55, dy = 227
pl x = 81, pl y = 157 e x = 96, e y = -26, dx = -15, dy = 183
pl x = 90, pl y = 157 e x = 67, e y = -21, dx = 23, dy = 178
pl x = 126, pl y = 157 e x = 93, e y = -37, dx = 33, dy = 194
pl x = 78, pl y = 157 e x = 61, e y = 11, dx = 17, dy = 146
pl x = 39, pl y = 157 e x = 61, e y = 13, dx = -22, dy = 144
pl x = 21, pl y = 157 e x = 83, e y = 31, dx = -62, dy = 126
pl x = 132, pl y = 157 e x = 159, e y = -61, dx = -27, dy = 218
pl x = 150, pl y = 157 e x = 173, e y = -93, dx = -23, dy = 250
pl x = 165, pl y = 157 e x = 178, e y = 14, dx = -13, dy = 143
pl x = 156, pl y = 157 e x = 171, e y = -40, dx = -15, dy = 197
pl x = 180, pl y = 157 e x = 184, e y = -64, dx = -4, dy = 221
pl x = 180, pl y = 157 e x = 174, e y = -58, dx = 6, dy = 215
pl x = 168, pl y = 157 e x = 166, e y = -53, dx = 2, dy = 210
pl x = 162, pl y = 157 e x = 174, e y = -40, dx = -12, dy = 197
pl x = 156, pl y = 157 e x = 186, e y = -25, dx = -30, dy = 182
pl x = 111, pl y = 157 e x = 169, e y = -34, dx = -58, dy = 191
pl x = 72, pl y = 157 e x = 131, e y = -16, dx = -59, dy = 173
pl x = 72, pl y = 157 e x = 127, e y = -12, dx = -55, dy = 169
pl x = 72, pl y = 157 e x = 123, e y = -14, dx = -51, dy = 171
pl x = 99, pl y = 157 e x = 169, e y = -70, dx = -70, dy = 227
pl x = 98, pl y = 157 e x = 101, e y = -100, dx = -3, dy = 257
pl x = 129, pl y = 157 e x = 159, e y = -66, dx = -30, dy = 223
pl x = 165, pl y = 157 e x = 160, e y = -39, dx = 5, dy = 196
pl x = 150, pl y = 157 e x = 161, e y = -35, dx = -11, dy = 192
pl x = 159, pl y = 157 e x = 149, e y = -38, dx = 10, dy = 195
pl x = 162, pl y = 157 e x = 183, e y = -78, dx = -21, dy = 235
pl x = 177, pl y = 157 e x = 179, e y = -79, dx = -2, dy = 236
pl x = 165, pl y = 157 e x = 152, e y = -74, dx = 13, dy = 231
pl x = 165, pl y = 157 e x = 156, e y = -68, dx = 9, dy = 225
pl x = 165, pl y = 157 e x = 160, e y = -66, dx = 5, dy = 223
pl x = 165, pl y = 157 e x = 162, e y = -65, dx = 3, dy = 222
pl x = 165, pl y = 157 e x = 164, e y = -46, dx = 1, dy = 203
pl x = 168, pl y = 157 e x = 160, e y = -44, dx = 8, dy = 201
pl x = 180, pl y = 157 e x = 151, e y = -58, dx = 29, dy = 215
pl x = 141, pl y = 157 e x = 129, e y = -17, dx = 12, dy = 174
pl x = 123, pl y = 157 e x = 168, e y = -33, dx = -45, dy = 190
pl x = 123, pl y = 157 e x = 169, e y = -70, dx = -46, dy = 227
pl x = 156, pl y = 157 e x = 135, e y = -25, dx = 21, dy = 182
pl x = 138, pl y = 157 e x = 123, e y = -20, dx = 15, dy = 177
pl x = 150, pl y = 157 e x = 137, e y = -21, dx = 13, dy = 178
pl x = 120, pl y = 157 e x = 183, e y = -79, dx = -63, dy = 236
pl x = 93, pl y = 157 e x = 185, e y = -82, dx = -92, dy = 239
pl x = 126, pl y = 157 e x = 154, e y = -64, dx = -28, dy = 221
pl x = 102, pl y = 157 e x = 161, e y = -104, dx = -59, dy = 261
pl x = 114, pl y = 157 e x = 143, e y = -97, dx = -29, dy = 254
pl x = 81, pl y = 157 e x = 70, e y = -70, dx = 11, dy = 227
pl x = 81, pl y = 157 e x = 60, e y = -27, dx = 21, dy = 184
pl x = 81, pl y = 157 e x = 58, e y = -22, dx = 23, dy = 179
pl x = 300, pl y = 225 e x = 167, e y = -92, dx = 133, dy = 317
pl x = 300, pl y = 225 e x = 170, e y = -70, dx = 130, dy = 295
pl x = 119, pl y = 157 e x = 133, e y = -35, dx = -14, dy = 192
pl x = 86, pl y = 157 e x = 97, e y = -6, dx = -11, dy = 163
pl x = 134, pl y = 157 e x = 113, e y = 29, dx = 21, dy = 128
pl x = 131, pl y = 157 e x = 111, e y = 30, dx = 20, dy = 127
pl x = 77, pl y = 157 e x = 75, e y = 44, dx = 2, dy = 113
pl x = 113, pl y = 157 e x = 159, e y = -66, dx = -46, dy = 223
pl x = 89, pl y = 157 e x = 155, e y = -71, dx = -66, dy = 228
pl x = 120, pl y = 157 e x = 149, e y = -53, dx = -29, dy = 210
pl x = 114, pl y = 157 e x = 153, e y = -48, dx = -39, dy = 205
pl x = 140, pl y = 157 e x = 180, e y = -24, dx = -40, dy = 181
pl x = 149, pl y = 157 e x = 158, e y = -15, dx = -9, dy = 172
pl x = 119, pl y = 157 e x = 127, e y = -53, dx = -8, dy = 210
pl x = 104, pl y = 157 e x = 105, e y = -44, dx = -1, dy = 201
pl x = 104, pl y = 157 e x = 145, e y = -60, dx = -41, dy = 217
pl x = 104, pl y = 157 e x = 137, e y = -57, dx = -33, dy = 214
pl x = 104, pl y = 157 e x = 161, e y = -66, dx = -57, dy = 223
pl x = 116, pl y = 157 e x = 155, e y = -62, dx = -39, dy = 219
pl x = 122, pl y = 157 e x = 127, e y = -39, dx = -5, dy = 196
pl x = 134, pl y = 157 e x = 123, e y = -32, dx = 11, dy = 189
pl x = 149, pl y = 157 e x = 155, e y = -49, dx = -6, dy = 206
pl x = 149, pl y = 157 e x = 186, e y = -36, dx = -37, dy = 193
pl x = 155, pl y = 157 e x = 204, e y = -33, dx = -49, dy = 190
pl x = 158, pl y = 157 e x = 80, e y = -5, dx = 78, dy = 162
pl x = 140, pl y = 157 e x = 183, e y = -4, dx = -43, dy = 161
pl x = 152, pl y = 157 e x = 173, e y = 5, dx = -21, dy = 152
pl x = 200, pl y = 157 e x = 177, e y = -21, dx = 23, dy = 178
pl x = 212, pl y = 157 e x = 128, e y = -10, dx = 84, dy = 167
pl x = 206, pl y = 157 e x = 142, e y = -59, dx = 64, dy = 216
pl x = 209, pl y = 157 e x = 136, e y = -85, dx = 73, dy = 242
pl x = 84, pl y = 157 e x = 151, e y = -62, dx = -67, dy = 219
pl x = 93, pl y = 157 e x = 135, e y = -56, dx = -42, dy = 213
pl x = 104, pl y = 157 e x = 125, e y = -50, dx = -21, dy = 207
pl x = 107, pl y = 157 e x = 111, e y = -38, dx = -4, dy = 195
pl x = 110, pl y = 157 e x = 93, e y = -25, dx = 17, dy = 182
pl x = 71, pl y = 157 e x = 123, e y = -1, dx = -52, dy = 158
pl x = 71, pl y = 157 e x = 100, e y = 27, dx = -29, dy = 130
pl x = 71, pl y = 157 e x = 129, e y = 23, dx = -58, dy = 134
pl x = -20, pl y = 225 e x = 129, e y = 27, dx = -149, dy = 198
pl x = 300, pl y = 225 e x = 125, e y = -85, dx = 175, dy = 310
pl x = 168, pl y = 157 e x = 135, e y = -18, dx = 33, dy = 175
pl x = 81, pl y = 157 e x = 65, e y = 66, dx = 16, dy = 91
pl x = 108, pl y = 157 e x = 85, e y = 111, dx = 23, dy = 46
pl x = 117, pl y = 157 e x = 165, e y = -73, dx = -48, dy = 230
pl x = 108, pl y = 157 e x = 137, e y = -27, dx = -29, dy = 184
pl x = 93, pl y = 157 e x = 109, e y = 52, dx = -16, dy = 105
pl x = 156, pl y = 157 e x = 79, e y = 35, dx = 77, dy = 122
pl x = 132, pl y = 157 e x = 97, e y = 45, dx = 35, dy = 112
pl x = 141, pl y = 157 e x = 101, e y = 49, dx = 40, dy = 108
pl x = 108, pl y = 157 e x = 161, e y = -66, dx = -53, dy = 223
pl x = 78, pl y = 157 e x = 91, e y = 66, dx = -13, dy = 91
pl x = 54, pl y = 157 e x = 80, e y = 104, dx = -26, dy = 53
pl x = 48, pl y = 157 e x = 99, e y = -39, dx = -51, dy = 196
pl x = 150, pl y = 157 e x = 179, e y = -68, dx = -29, dy = 225
pl x = 159, pl y = 157 e x = 184, e y = -65, dx = -25, dy = 222
pl x = 174, pl y = 157 e x = 169, e y = -58, dx = 5, dy = 215
pl x = 174, pl y = 157 e x = 145, e y = -48, dx = 29, dy = 205
pl x = 174, pl y = 157 e x = 183, e y = -65, dx = -9, dy = 222
pl x = 141, pl y = 157 e x = 159, e y = -66, dx = -18, dy = 223
pl x = 141, pl y = 157 e x = 159, e y = -11, dx = -18, dy = 168
pl x = 141, pl y = 157 e x = 155, e y = -9, dx = -14, dy = 166
pl x = 120, pl y = 157 e x = 158, e y = 5, dx = -38, dy = 152
pl x = 120, pl y = 157 e x = 124, e y = 9, dx = -4, dy = 148
pl x = 120, pl y = 157 e x = 147, e y = 12, dx = -27, dy = 145
pl x = 120, pl y = 157 e x = 129, e y = 43, dx = -9, dy = 114
pl x = 162, pl y = 157 e x = 138, e y = 23, dx = 24, dy = 134
pl x = 120, pl y = 157 e x = 123, e y = -20, dx = -3, dy = 177
pl x = 147, pl y = 157 e x = 149, e y = -42, dx = -2, dy = 199
pl x = 150, pl y = 157 e x = 150, e y = -41, dx = 0, dy = 198
pl x = 159, pl y = 157 e x = 146, e y = -37, dx = 13, dy = 194
pl x = 174, pl y = 157 e x = 163, e y = -54, dx = 11, dy = 211
pl x = 144, pl y = 157 e x = 151, e y = -14, dx = -7, dy = 171
pl x = 156, pl y = 157 e x = 167, e y = 3, dx = -11, dy = 154
pl x = 168, pl y = 157 e x = 159, e y = 6, dx = 9, dy = 151
pl x = 171, pl y = 157 e x = 157, e y = 7, dx = 14, dy = 150
pl x = 189, pl y = 157 e x = 153, e y = -18, dx = 36, dy = 175
pl x = 138, pl y = 157 e x = 184, e y = -63, dx = -46, dy = 220
pl x = 114, pl y = 157 e x = 151, e y = -31, dx = -37, dy = 188
pl x = 132, pl y = 157 e x = 141, e y = -20, dx = -9, dy = 177
pl x = 114, pl y = 157 e x = 159, e y = -13, dx = -45, dy = 170
pl x = 93, pl y = 157 e x = 170, e y = -70, dx = -77, dy = 227
pl x = 75, pl y = 157 e x = 159, e y = -66, dx = -84, dy = 223
pl x = 75, pl y = 157 e x = 153, e y = -63, dx = -78, dy = 220
pl x = 99, pl y = 157 e x = 81, e y = 29, dx = 18, dy = 128
pl x = 72, pl y = 157 e x = 62, e y = 38, dx = 10, dy = 119
pl x = 9, pl y = 157 e x = 57, e y = -24, dx = -48, dy = 181
pl x = 9, pl y = 157 e x = 101, e y = 43, dx = -92, dy = 114
pl x = 30, pl y = 157 e x = 78, e y = -28, dx = -48, dy = 185
pl x = 123, pl y = 157 e x = 97, e y = 56, dx = 26, dy = 101
pl x = 66, pl y = 157 e x = 68, e y = -35, dx = -2, dy = 192
pl x = 102, pl y = 157 e x = 95, e y = -60, dx = 7, dy = 217
pl x = 105, pl y = 157 e x = 79, e y = -29, dx = 26, dy = 186
pl x = 99, pl y = 157 e x = 83, e y = -28, dx = 16, dy = 185
pl x = 66, pl y = 157 e x = 104, e y = -19, dx = -38, dy = 176
pl x = 99, pl y = 157 e x = 162, e y = -66, dx = -63, dy = 223
pl x = 93, pl y = 157 e x = 148, e y = -61, dx = -55, dy = 218
pl x = 99, pl y = 157 e x = 55, e y = -22, dx = 44, dy = 179
pl x = 108, pl y = 157 e x = 73, e y = 4, dx = 35, dy = 153
pl x = 120, pl y = 157 e x = 81, e y = 8, dx = 39, dy = 149
pl x = 144, pl y = 157 e x = 97, e y = 14, dx = 47, dy = 143
pl x = 135, pl y = 157 e x = 121, e y = 25, dx = 14, dy = 132
